"Ratings","MovieId","MovieName","UserId","Username"
"5","1","Birds of Prey","1","ABC"
"4","1","Birds of Prey","2","XYZ"
"4","1","Birds of Prey","3","YYY"
"5","1","Birds of Prey","4","ZZZ"
"3","1","Birds of Prey","5","POP"
"","1","Birds of Prey","6","XXX"
"5","1","Birds of Prey","7","LMN"
"4","2","The Irishman","1","ABC"
"4","2","The Irishman","2","XYZ"
"","2","The Irishman","3","YYY"
"","2","The Irishman","4","ZZZ"
"5","2","The Irishman","5","POP"
"","2","The Irishman","6","XXX"
"","2","The Irishman","7","LMN"
"4","3","Knives Out","1","ABC"
"4","3","Knives Out","2","XYZ"
"4","3","Knives Out","3","YYY"
"5","3","Knives Out","4","ZZZ"
"4","3","Knives Out","5","POP"
"4","3","Knives Out","6","XXX"
"4","3","Knives Out","7","LMN"
"5","4","Once Upon a Time in Hollywood","1","ABC"
"5","4","Once Upon a Time in Hollywood","2","XYZ"
"4","4","Once Upon a Time in Hollywood","3","YYY"
"4","4","Once Upon a Time in Hollywood","4","ZZZ"
"5","4","Once Upon a Time in Hollywood","5","POP"
"4","4","Once Upon a Time in Hollywood","6","XXX"
"4","4","Once Upon a Time in Hollywood","7","LMN"
"5","5","Avengers: Endgame","1","ABC"
"5","5","Avengers: Endgame","2","XYZ"
"3","5","Avengers: Endgame","3","YYY"
"5","5","Avengers: Endgame","4","ZZZ"
"3","5","Avengers: Endgame","5","POP"
"","5","Avengers: Endgame","6","XXX"
"5","5","Avengers: Endgame","7","LMN"
"5","6","Parasite","1","ABC"
"5","6","Parasite","2","XYZ"
"","6","Parasite","3","YYY"
"","6","Parasite","4","ZZZ"
"","6","Parasite","5","POP"
"","6","Parasite","6","XXX"
"","6","Parasite","7","LMN"
